Sat Apr 16 15:21:51.388 2022 : CtMain::main processing for command=/ call show 
Sat Apr 16 15:21:51.389 2022 : Entering LinuxControllerExplorer::explore 
Sat Apr 16 15:21:51.389 2022 : Entering LinuxControllerExplorer::getCtrlCount
Sat Apr 16 15:21:51.390 2022 : LinuxControllerExplorer::getCtrlCount _hDvr=4 _hDvrSwr =-1
Sat Apr 16 15:21:51.392 2022 : returning LinuxControllerExplorer::explore ctrlIdListPtr
Sat Apr 16 15:21:51.392 2022 : SlItControllerExplorer::explore - Entering
Sat Apr 16 15:21:51.392 2022 : StorelibItDp::processLibCommand SL request sent
Sat Apr 16 15:21:51.393 2022 : StorelibItDp::processLibCommand SL responded with retcode=32770
Sat Apr 16 15:21:51.393 2022 : LinuxMfiDataProvider::fireIoctl DCMD=1010000 mbox.w[0]=1 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.393 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.393 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.393 2022 : LinuxMfiDataProvider::fireIoctl DCMD=10e8481 mbox.w[0]=0 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.393 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.393 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.397 2022 : initializing the RaidManager Instance 
Sat Apr 16 15:21:51.397 2022 : LinuxMfiDataProvider::fireIoctl DCMD=1010000 mbox.w[0]=1 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.397 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.397 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.397 2022 : Entering RmDataMfi::initialize
Sat Apr 16 15:21:51.397 2022 : Entering RmDataMfi::getPdList
Sat Apr 16 15:21:51.397 2022 : Entering MfiData::getMrPdList
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2010000 mbox.w[0]=0 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2010000 mbox.w[0]=0 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.398 2022 : Exiting MfiData::getMrPdList, PD count = 14
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createPd
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::getPdList
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::initialize
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::initialize
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::createAdapter
Sat Apr 16 15:21:51.398 2022 : Exiting RmDataMfi::createAdapter
Sat Apr 16 15:21:51.398 2022 : Entering RmDataMfi::getUncfgPdList
Sat Apr 16 15:21:51.398 2022 : Entering MfiData::getMrPdList
Sat Apr 16 15:21:51.398 2022 : Entering MfiData::getMrCfgData
Sat Apr 16 15:21:51.398 2022 : Entering AdapterDataMfi::isSupportMrArrayExt
Sat Apr 16 15:21:51.398 2022 : Entering AdapterDataMfi::getCtlrInfo
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl DCMD=1010000 mbox.w[0]=1 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.398 2022 : Exiting AdapterDataMfi::getCtlrInfo retCode = 0
Sat Apr 16 15:21:51.398 2022 : Exiting  AdapterDataMfi::isSupportMrArrayExt
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl DCMD=4010000 mbox.w[0]=1 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.398 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl DCMD=4010000 mbox.w[0]=1 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.399 2022 : Logical drive count = 12, Spare count = 0
Sat Apr 16 15:21:51.399 2022 : Exiting MfiData::getMrCfgData 
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::getUncfgPdList- getMrCfgData - retCode:0
Sat Apr 16 15:21:51.399 2022 : Entering AdapterDataMfi::isSupportMrArrayExt
Sat Apr 16 15:21:51.399 2022 : Entering AdapterDataMfi::getCtlrInfo
Sat Apr 16 15:21:51.399 2022 : Exiting  AdapterDataMfi::isSupportMrArrayExt
Sat Apr 16 15:21:51.399 2022 : Exiting RmDataMfi::getUncfgPdList
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::getSystemPdList
Sat Apr 16 15:21:51.399 2022 : Entering MfiData::getMrSystemPdList
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2010100 mbox.w[0]=0 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2010100 mbox.w[0]=0 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.399 2022 : Exiting MfiData::getMrSystemPdList PD count = 14,  retCode = 0
Sat Apr 16 15:21:51.399 2022 : RmDataMfi::getSystemPdList slotNumber= 0, deviceId=8
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=8 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.399 2022 : Drive deviceID=8 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.399 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Drive deviceID=8 (PdDataMfi::getFwState) value=0
Sat Apr 16 15:21:51.399 2022 : RmDataMfi::getSystemPdList slotNumber= 4, deviceId=9
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=9 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.399 2022 : Drive deviceID=9 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.399 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Drive deviceID=9 (PdDataMfi::getFwState) value=24
Sat Apr 16 15:21:51.399 2022 : RmDataMfi::getSystemPdList slotNumber= 2, deviceId=10
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=a mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.399 2022 : Drive deviceID=10 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.399 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Drive deviceID=10 (PdDataMfi::getFwState) value=24
Sat Apr 16 15:21:51.399 2022 : RmDataMfi::getSystemPdList slotNumber= 0, deviceId=11
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=b mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.399 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.399 2022 : Drive deviceID=11 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.399 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.399 2022 : Drive deviceID=11 (PdDataMfi::getFwState) value=24
Sat Apr 16 15:21:51.399 2022 : RmDataMfi::getSystemPdList slotNumber= 9, deviceId=12
Sat Apr 16 15:21:51.399 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=c mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=12 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=12 (PdDataMfi::getFwState) value=24
Sat Apr 16 15:21:51.400 2022 : RmDataMfi::getSystemPdList slotNumber= 6, deviceId=13
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=d mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=13 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=13 (PdDataMfi::getFwState) value=24
Sat Apr 16 15:21:51.400 2022 : RmDataMfi::getSystemPdList slotNumber= 10, deviceId=14
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=e mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=14 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=14 (PdDataMfi::getFwState) value=24
Sat Apr 16 15:21:51.400 2022 : RmDataMfi::getSystemPdList slotNumber= 11, deviceId=15
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=f mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=15 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=15 (PdDataMfi::getFwState) value=24
Sat Apr 16 15:21:51.400 2022 : RmDataMfi::getSystemPdList slotNumber= 5, deviceId=16
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=10 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=16 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=16 (PdDataMfi::getFwState) value=24
Sat Apr 16 15:21:51.400 2022 : RmDataMfi::getSystemPdList slotNumber= 1, deviceId=17
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=11 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=17 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=17 (PdDataMfi::getFwState) value=24
Sat Apr 16 15:21:51.400 2022 : RmDataMfi::getSystemPdList slotNumber= 7, deviceId=18
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Entering RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=12 mbox.w[1]=0 mbox.w[2]=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat Apr 16 15:21:51.400 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=2
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=18 (PdDataMfi::getMrPdInfo) retCode=0
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Exiting RmDataMfi::getPd using deviceId
Sat Apr 16 15:21:51.400 2022 : Drive deviceID=18 (PdDataMfi::getFwState) value=24
